Município,Semana 01,Semana 02,Semana 03,Semana 06,Semana 09,Semana 11,Semana 12,Semana 13,Semana 15,Semana 16,Semana 20,Semana 23,Semana 29,Semana 37,Semana 41,Semana 44,Semana 46,Semana 47,Semana 48,Total,CIR
Poços de Caldas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,31006
"Belo Horizonte,Nova Lima,Santa Luzia",0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,8,31016
Itabira,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31021
"Vespasiano,Lagoa Santa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31025
Bom Despacho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31028
Itaúna,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31031
"Unaí,Paracatu",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31058
Uberaba,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,31072
"Uberlândia,Araguari",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31075
"Teófilo Otoni,Malacacheta",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31099
